user_id,transaction_amount,device_location,account_age_days,transaction_hour,previous_failed_attempts,payment_mode,device_type,transaction_type,avg_transaction_amount,is_international,ip_risk_score,login_attempts_last_24h,fraud
U5261,29560.69,Bangalore,1803,9,1,NetBanking,iOS,Payment,29351.96,0,0.605,9,0
U8927,2157.91,Hyderabad,1556,22,1,Card,iOS,Withdrawal,25085.59,0,0.174,6,1
U1965,13652.15,Delhi,1255,12,0,Wallet,Android,Payment,29771.5,0,0.205,7,0
U4533,4766.22,Hyderabad,1376,19,1,NetBanking,Web,Transfer,12047.71,0,0.345,2,0
U6077,33579.98,Mumbai,277,5,2,Card,Web,Payment,14137.25,0,0.299,3,0
U2316,35813.44,Hyderabad,994,11,1,Wallet,Android,Payment,1080.39,0,0.594,9,0
U7935,4394.99,Hyderabad,1533,0,1,Card,iOS,Payment,22934.15,0,0.902,4,0
U3025,20843.43,Bangalore,1319,13,3,UPI,Web,Transfer,26316.66,0,0.34,9,0
U8804,41715.52,Chennai,1996,5,3,NetBanking,Android,Transfer,20723.03,1,0.502,8,0
U1063,21402.95,Bangalore,329,9,2,NetBanking,Android,Withdrawal,9794.02,0,0.235,7,0
U4882,12139.0,Chennai,174,14,1,Card,iOS,Payment,18119.48,0,0.822,3,0
U1386,41452.72,Chennai,1365,17,3,Wallet,Web,Payment,16468.11,0,0.44,2,0
U8416,9656.17,Chennai,514,9,2,Card,Android,Withdrawal,27208.34,0,0.666,8,0
U4469,7858.03,Mumbai,1606,12,1,Card,Web,Transfer,28113.11,0,0.042,4,0
U5499,28180.06,Mumbai,1153,20,4,NetBanking,Android,Payment,12850.65,0,0.561,2,0
U4197,28292.53,Hyderabad,428,6,2,Card,Android,Payment,12596.32,1,0.92,3,0
U4822,8826.98,Delhi,783,7,4,NetBanking,Web,Payment,21623.97,0,0.221,2,0
U8712,5103.22,Bangalore,411,10,1,Card,iOS,Payment,29160.0,0,0.957,8,0
U1015,4316.15,Hyderabad,1691,10,0,Card,Web,Withdrawal,18349.53,0,0.308,3,0
U6838,37393.09,Delhi,443,13,1,NetBanking,Web,Payment,25293.68,0,0.718,8,0
U6263,31707.48,Mumbai,14,4,4,NetBanking,iOS,Transfer,15496.73,0,0.114,4,0
U1499,41245.92,Hyderabad,1829,11,3,Card,Web,Payment,7721.54,0,0.516,4,0
U5569,2013.64,Mumbai,820,12,4,UPI,Web,Payment,20032.86,0,0.778,1,0
U7682,43117.04,Bangalore,943,16,1,NetBanking,iOS,Transfer,2536.64,0,0.67,4,0
U8752,14758.56,Bangalore,1520,10,3,Wallet,iOS,Transfer,17794.46,0,0.067,9,0
U7507,31823.0,Chennai,1919,20,3,Wallet,Web,Withdrawal,23866.75,0,0.758,7,0
U6917,17772.12,Bangalore,515,4,2,Wallet,iOS,Withdrawal,12044.05,0,0.786,9,0
U6672,14377.99,Hyderabad,330,0,3,Card,Android,Payment,24111.5,0,0.682,9,0
U4366,28877.0,Bangalore,351,17,3,Card,iOS,Withdrawal,15982.67,0,0.584,2,0
U1730,42973.28,Bangalore,1796,11,2,Card,Web,Withdrawal,29824.58,0,0.067,7,0
U6197,29833.68,Delhi,1103,3,1,NetBanking,Web,Withdrawal,26127.16,0,0.209,1,0
U5789,34146.73,Hyderabad,1002,12,1,UPI,Web,Transfer,18080.34,0,0.698,1,0
U3075,11387.58,Bangalore,1778,0,0,NetBanking,Web,Payment,29294.13,0,0.074,5,0
U4577,16294.3,Hyderabad,963,10,3,Card,Android,Payment,21534.51,0,0.081,3,0
U5941,11607.46,Delhi,1444,2,3,Wallet,iOS,Withdrawal,26637.31,0,0.98,2,0
U7033,35894.01,Bangalore,1658,11,0,UPI,Android,Withdrawal,28006.5,1,0.359,2,0
U3340,23561.51,Hyderabad,615,5,2,UPI,Web,Payment,22350.06,0,0.582,4,0
U5997,36650.04,Hyderabad,1243,17,0,UPI,Web,Transfer,22846.67,0,0.81,8,0
U7650,17768.69,Hyderabad,1520,20,0,Wallet,iOS,Withdrawal,903.81,0,0.419,7,0
U1619,1337.19,Bangalore,1947,15,0,Card,Android,Payment,1170.15,0,0.118,5,0
U5815,44703.95,Delhi,388,23,0,Card,iOS,Transfer,29379.53,0,0.232,5,0
U5890,27915.79,Bangalore,945,14,0,Wallet,Android,Payment,19388.63,0,0.95,5,0
U4615,7766.89,Bangalore,1306,18,0,Wallet,iOS,Payment,24640.28,0,0.199,6,0
U7571,28308.31,Delhi,630,16,2,Wallet,Android,Transfer,29072.64,0,0.114,4,0
U5778,10200.99,Mumbai,952,23,1,NetBanking,iOS,Payment,18819.11,0,0.171,2,0
U9688,31251.95,Delhi,1093,1,1,NetBanking,Android,Payment,27872.68,0,0.046,9,0
U1337,19708.09,Bangalore,1881,0,4,UPI,Android,Withdrawal,10587.49,0,0.23,4,0
U1699,47148.34,Bangalore,1205,20,1,Card,iOS,Payment,14336.84,0,0.011,7,0
U5204,32961.33,Hyderabad,961,2,3,Card,iOS,Payment,6785.12,0,0.828,9,0
U5401,17870.69,Chennai,208,10,1,NetBanking,iOS,Withdrawal,27408.95,0,0.589,8,0
U1264,2564.96,Bangalore,50,20,4,Wallet,Web,Transfer,24127.44,0,0.274,4,0
U5632,21384.03,Hyderabad,1327,4,4,NetBanking,Web,Payment,7198.85,0,0.594,2,0
U5201,29890.78,Chennai,997,12,4,NetBanking,Web,Payment,5282.65,0,0.018,7,0
U3012,3315.04,Hyderabad,1653,12,1,UPI,iOS,Payment,13851.41,0,0.328,6,0
U9380,32255.03,Bangalore,565,2,3,Card,iOS,Payment,8298.54,0,0.841,9,0
U9193,22495.02,Bangalore,1595,0,1,Wallet,iOS,Transfer,6653.01,0,0.857,9,0
U6158,28136.73,Delhi,1213,9,1,Card,iOS,Payment,20283.57,0,0.079,3,0
U6039,39029.26,Delhi,1306,9,3,NetBanking,Web,Payment,28376.48,1,0.298,4,0
U6552,17837.03,Chennai,1544,3,3,Card,Web,Payment,7626.08,0,0.184,6,0
U6546,12136.76,Mumbai,221,9,0,NetBanking,Web,Withdrawal,15046.83,0,0.97,5,1
U6188,45950.38,Bangalore,1286,12,2,Card,iOS,Withdrawal,11012.78,1,0.86,6,0
U1943,32925.08,Mumbai,1354,15,0,UPI,iOS,Payment,6539.11,0,0.765,2,0
U9855,23312.99,Delhi,1084,16,0,Wallet,Web,Withdrawal,26372.08,0,0.898,6,0
U5702,4280.18,Chennai,253,9,4,Card,Web,Withdrawal,17738.81,0,0.969,9,0
U9389,33857.16,Chennai,891,7,3,Card,Android,Withdrawal,17444.85,0,0.971,4,0
U9490,12211.94,Delhi,761,4,3,UPI,iOS,Withdrawal,20532.66,1,0.435,3,0
U8358,30926.88,Hyderabad,1147,13,2,Card,iOS,Withdrawal,13889.93,0,0.614,9,0
U2132,591.34,Bangalore,1057,0,4,Wallet,iOS,Payment,16371.64,0,0.753,4,0
U3890,47367.98,Chennai,994,15,0,Card,Web,Transfer,22892.22,0,0.562,9,0
U9492,9593.55,Bangalore,884,9,4,NetBanking,Web,Withdrawal,27388.52,0,0.01,5,0
U3234,38390.0,Bangalore,250,1,4,UPI,Android,Transfer,23126.77,1,0.326,9,0
U1407,16263.06,Delhi,508,1,4,Card,iOS,Payment,3445.81,0,0.833,5,0
U9460,10855.82,Mumbai,757,11,4,Wallet,Android,Payment,13384.63,0,0.065,7,0
U7276,39021.62,Mumbai,1794,9,1,UPI,Android,Transfer,24184.08,1,0.157,1,0
U4020,10228.13,Bangalore,770,19,4,NetBanking,Android,Transfer,23818.92,0,0.295,3,0
U7685,46901.36,Hyderabad,1559,12,3,NetBanking,Android,Payment,28043.75,0,0.628,7,0
U1801,33969.38,Delhi,70,5,0,Card,iOS,Transfer,16433.63,0,0.235,2,1
U3222,657.23,Hyderabad,1081,17,1,UPI,Web,Payment,12886.47,0,0.204,4,0
U3227,27262.81,Hyderabad,1789,5,4,UPI,iOS,Transfer,20261.06,0,0.098,2,0
